LAT;;;;;40.7143;40.7143;40.7143;40.7143;40.7143;40.7143;40.7143;40.7143;40.7143
LON;;;;;-74.0060;-74.0060;-74.0060;-74.0060;-74.0060;-74.0060;-74.0060;-74.0060;-74.0060
ASL;;;;;10.0000;10.0000;10.0000;10.0000;10.0000;10.0000;10.0000;10.0000;10.0000
CITY;;;;;New York;New York;New York;New York;New York;New York;New York;New York;New York
DOMAIN;;;;;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL
LEVEL;;;;;2 m above gnd;2 m above gnd;sfc;sfc;sfc;sfc;10 m above gnd;10 m above gnd;sfc
NAME;;;;;Temperature;Relative Humidity;Total Precipitation;Snowfall amount raw;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction;Wind Gust
UNIT;;;;;°F;%;mm;cm;min;W/m2;mph;°;mph
AGGREGATION;;;;;;;;;;;;;
UTC_OFFSET;;;;;-5;-5;-5;-5;-5;-5;-5;-5;-5

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Gust  [sfc]
2018;09;12;06;00;72.13;96.00;0.00;0.00;0.00;4.45;2.86;51.34;4.92
2018;09;12;07;00;71.52;95.00;0.00;0.00;0.00;54.29;3.91;59.04;7.38
2018;09;12;08;00;72.58;93.00;0.00;0.00;0.00;110.36;4.20;64.80;6.93
2018;09;12;09;00;73.70;91.00;0.00;0.00;0.00;156.64;4.34;78.11;6.71
2018;09;12;10;00;74.83;90.00;0.00;0.00;0.00;194.02;4.52;81.47;7.38
2018;09;12;11;00;75.82;89.00;0.00;0.00;0.00;213.60;4.47;90.00;8.05
2018;09;12;12;00;75.77;90.00;0.40;0.00;0.00;127.27;4.03;90.00;6.93
2018;09;12;13;00;76.63;89.00;0.60;0.00;0.00;142.40;4.25;90.00;6.49
2018;09;12;14;00;76.06;90.00;1.50;0.00;0.00;96.12;4.26;86.99;4.92
2018;09;12;15;00;75.86;91.00;1.00;0.00;0.00;56.96;4.48;87.14;4.70
2018;09;12;16;00;75.54;92.00;0.30;0.00;0.00;37.38;4.34;78.11;5.14
2018;09;12;17;00;75.00;94.00;0.00;0.00;0.00;28.48;4.78;79.22;6.26
2018;09;12;18;00;74.31;95.00;0.00;0.00;0.00;10.68;5.00;79.70;7.38
2018;09;12;19;00;73.75;96.00;0.00;0.00;0.00;0.00;5.32;75.38;8.28
2018;09;12;20;00;73.43;96.00;0.00;0.00;0.00;0.00;5.59;73.74;6.71
2018;09;12;21;00;73.11;96.00;0.00;0.00;0.00;0.00;5.53;75.96;6.93
2018;09;12;22;00;72.71;96.00;0.00;0.00;0.00;0.00;5.53;75.96;7.38
2018;09;12;23;00;72.33;96.00;0.00;0.00;0.00;0.00;5.48;78.23;7.61
2018;09;13;00;00;71.95;96.00;0.00;0.00;0.00;0.00;5.81;74.36;7.83
2018;09;13;01;00;71.56;96.00;0.00;0.00;0.00;0.00;6.23;68.96;8.05
2018;09;13;02;00;71.04;96.00;0.00;0.00;0.00;0.00;6.32;67.07;8.28
2018;09;13;03;00;70.62;96.00;0.00;0.00;0.00;0.00;6.61;66.04;8.28
2018;09;13;04;00;70.24;95.00;0.00;0.00;0.00;0.00;6.50;63.43;8.50
2018;09;13;05;00;69.85;95.00;0.10;0.00;0.00;0.00;6.52;59.04;8.28
2018;09;13;06;00;69.47;94.00;0.00;0.00;0.00;2.67;6.58;54.69;8.50
2018;09;13;07;00;68.89;93.00;0.00;0.00;0.00;29.37;7.77;41.50;8.50
2018;09;13;08;00;69.16;91.00;0.00;0.00;0.00;63.19;8.07;43.88;9.17
2018;09;13;09;00;69.47;90.00;0.00;0.00;0.00;93.45;7.91;45.00;11.63
2018;09;13;10;00;69.87;89.00;0.00;0.00;0.00;118.37;8.07;46.12;10.51
2018;09;13;11;00;70.19;88.00;0.00;0.00;0.00;137.06;8.08;48.37;9.62
2018;09;13;12;00;70.42;88.00;0.00;0.00;0.00;142.40;8.01;54.09;9.84
2018;09;13;13;00;70.66;88.00;0.00;0.00;0.00;140.62;8.07;56.31;10.29
2018;09;13;14;00;70.78;88.00;0.00;0.00;0.00;133.50;8.25;57.17;12.53
2018;09;13;15;00;70.75;88.00;0.00;0.00;0.00;121.04;8.32;59.30;12.97
2018;09;13;16;00;70.53;89.00;0.00;0.00;0.00;95.23;8.52;60.07;13.42
2018;09;13;17;00;70.14;90.00;0.00;0.00;0.00;59.63;8.50;63.43;13.65
2018;09;13;18;00;69.60;91.00;0.00;0.00;0.00;20.47;8.61;65.43;13.87
2018;09;13;19;00;69.18;92.00;0.00;0.00;0.00;0.00;8.72;67.38;14.09
2018;09;13;20;00;68.82;93.00;0.00;0.00;0.00;0.00;8.72;67.38;13.87
2018;09;13;21;00;68.43;94.00;0.00;0.00;0.00;0.00;8.81;66.04;13.65
2018;09;13;22;00;68.10;94.00;0.00;0.00;0.00;0.00;8.61;65.43;13.20
2018;09;13;23;00;67.89;94.00;0.00;0.00;0.00;0.00;8.41;64.80;12.97
2018;09;14;00;00;67.72;94.00;0.00;0.00;0.00;0.00;8.20;64.13;12.97
2018;09;14;01;00;67.60;94.00;0.00;0.00;0.00;0.00;8.11;62.02;12.75
2018;09;14;02;00;67.47;94.00;0.00;0.00;0.00;0.00;8.21;60.64;10.96
2018;09;14;03;00;67.40;94.00;0.10;0.00;0.00;0.00;8.41;61.39;11.18
2018;09;14;04;00;67.38;94.00;0.20;0.00;0.00;0.00;8.30;62.74;11.18
2018;09;14;05;00;67.31;94.00;0.20;0.00;0.00;0.00;8.50;63.43;11.41
2018;09;14;06;00;67.35;94.00;0.30;0.00;0.00;0.89;9.11;65.32;12.08
2018;09;14;07;00;67.85;93.00;0.10;0.00;0.00;24.03;8.70;64.09;10.96
2018;09;14;08;00;68.25;92.00;0.10;0.00;0.00;54.29;8.72;67.38;11.18
2018;09;14;09;00;68.73;91.00;0.10;0.00;0.00;81.88;8.85;69.27;11.41
2018;09;14;10;00;69.24;90.00;0.10;0.00;0.00;105.02;8.85;73.86;11.41
2018;09;14;11;00;69.79;89.00;0.10;0.00;0.00;121.93;8.79;75.26;13.65
2018;09;14;12;00;70.26;88.00;0.00;0.00;0.00;132.61;8.86;79.82;13.65
2018;09;14;13;00;70.51;87.00;0.00;0.00;0.00;133.50;8.55;83.99;13.42
2018;09;14;14;00;70.51;87.00;0.00;0.00;0.00;121.04;8.30;85.36;12.75
2018;09;14;15;00;70.39;86.00;0.00;0.00;0.00;102.35;8.07;86.82;12.53
2018;09;14;16;00;70.15;87.00;0.00;0.00;0.00;82.77;7.84;86.73;11.86
2018;09;14;17;00;69.87;87.00;0.00;0.00;0.00;73.87;7.16;88.21;11.18
2018;09;14;18;00;69.22;87.00;0.00;0.00;0.00;26.70;6.50;86.05;12.08
2018;09;14;19;00;68.82;88.00;0.00;0.00;0.00;0.00;6.08;83.66;11.41
2018;09;14;20;00;68.55;88.00;0.00;0.00;0.00;0.00;5.41;82.87;10.74
2018;09;14;21;00;68.30;88.00;0.00;0.00;0.00;0.00;4.97;82.23;11.41
2018;09;14;22;00;67.99;88.00;0.00;0.00;0.00;0.00;4.30;81.03;10.51
2018;09;14;23;00;67.78;89.00;0.00;0.00;0.00;0.00;3.91;76.76;9.40
2018;09;15;00;00;67.36;90.00;0.00;0.00;0.00;0.00;3.54;71.57;8.50
2018;09;15;01;00;66.48;91.00;0.00;0.00;0.00;0.00;3.41;66.80;7.61
2018;09;15;02;00;65.91;92.00;0.00;0.00;0.00;0.00;3.50;63.43;6.04
2018;09;15;03;00;65.31;93.00;0.00;0.00;0.00;0.00;3.61;60.26;6.04
2018;09;15;04;00;64.90;94.00;0.00;0.00;0.00;0.00;3.72;57.26;7.61
2018;09;15;05;00;64.32;94.00;0.00;0.00;0.00;0.00;3.41;58.39;6.71
2018;09;15;06;00;63.94;94.00;0.00;0.00;0.00;4.45;3.36;53.13;7.16
2018;09;15;07;00;68.01;87.00;0.00;0.00;0.00;98.79;4.30;51.34;8.05
2018;09;15;08;00;69.76;82.00;0.00;0.00;0.00;197.58;4.30;51.34;7.16
2018;09;15;09;00;71.70;76.00;0.00;0.00;0.00;289.25;4.03;56.31;6.26
2018;09;15;10;00;73.95;70.00;0.00;0.00;0.00;413.85;3.82;69.44;4.92
2018;09;15;11;00;76.27;66.00;0.00;0.00;0.00;566.93;3.69;75.96;4.70
2018;09;15;12;00;78.31;62.00;0.00;0.00;54.26;669.28;3.13;90.00;3.80
2018;09;15;13;00;78.18;62.00;0.00;0.00;53.62;428.09;2.77;104.04;3.58
2018;09;15;14;00;78.63;62.00;0.00;0.00;53.62;347.10;2.86;128.66;3.80
2018;09;15;15;00;79.59;61.00;0.00;0.00;53.62;409.40;3.23;146.31;4.25
2018;09;15;16;00;79.44;61.00;0.00;0.00;53.62;412.07;4.00;153.43;6.04
2018;09;15;17;00;78.61;64.00;0.00;0.00;53.62;250.98;4.53;159.78;7.16
2018;09;15;18;00;76.69;68.00;0.00;0.00;7.87;80.10;4.74;160.71;4.25
2018;09;15;19;00;74.67;74.00;0.00;0.00;0.00;0.00;4.39;165.26;5.82
2018;09;15;20;00;72.78;79.00;0.00;0.00;0.00;0.00;4.12;167.47;4.92
2018;09;15;21;00;71.20;83.00;0.00;0.00;0.00;0.00;3.61;172.87;4.47
2018;09;15;22;00;69.81;87.00;0.00;0.00;0.00;0.00;3.36;176.19;5.14
2018;09;15;23;00;68.71;90.00;0.00;0.00;0.00;0.00;2.91;180.00;5.14
2018;09;16;00;00;67.81;92.00;0.00;0.00;0.00;0.00;2.46;180.00;4.70
2018;09;16;01;00;67.08;94.00;0.00;0.00;0.00;0.00;1.79;180.00;3.36
2018;09;16;02;00;66.36;96.00;0.00;0.00;0.00;0.00;1.57;180.00;2.46
2018;09;16;03;00;66.10;96.00;0.00;0.00;0.00;0.00;1.14;191.31;2.24
2018;09;16;04;00;65.78;95.00;0.00;0.00;0.00;0.00;0.81;213.69;1.57
2018;09;16;05;00;65.42;95.00;0.00;0.00;0.00;0.00;0.50;206.57;1.34
2018;09;16;06;00;65.47;95.00;0.00;0.00;0.00;4.45;0.22;180.00;0.67
2018;09;16;07;00;67.65;91.00;0.00;0.00;42.13;131.72;0.95;315.00;2.01
2018;09;16;08;00;70.84;83.00;0.00;0.00;49.15;313.28;0.22;270.00;2.01
2018;09;16;09;00;74.44;76.00;0.00;0.00;60.00;477.93;0.45;180.00;1.79
2018;09;16;10;00;77.88;69.00;0.00;0.00;60.00;613.21;1.70;156.80;2.68
2018;09;16;11;00;80.20;63.00;0.00;0.00;53.62;703.99;3.11;149.74;4.25
2018;09;16;12;00;81.75;60.00;0.00;0.00;53.62;713.78;4.03;146.31;6.49
2018;09;16;13;00;82.75;58.00;0.00;0.00;53.62;703.10;4.72;148.57;7.16
2018;09;16;14;00;83.22;55.00;0.00;0.00;53.62;646.14;5.41;150.26;7.61
2018;09;16;15;00;83.02;55.00;0.00;0.00;53.62;545.57;6.11;151.56;8.05
2018;09;16;16;00;82.07;57.00;0.00;0.00;52.98;409.40;6.81;156.80;8.28
2018;09;16;17;00;80.50;60.00;0.00;0.00;53.62;248.31;7.44;158.84;6.93
2018;09;16;18;00;77.55;65.00;0.00;0.00;6.17;75.65;6.44;159.68;8.28
2018;09;16;19;00;74.74;71.00;0.00;0.00;0.00;0.00;6.15;160.91;8.50
2018;09;16;20;00;72.26;75.00;0.00;0.00;0.00;0.00;5.38;163.07;9.40
2018;09;16;21;00;70.33;78.00;0.00;0.00;0.00;0.00;4.67;163.30;8.95
2018;09;16;22;00;68.73;80.00;0.00;0.00;0.00;0.00;4.39;165.26;8.28
2018;09;16;23;00;67.45;82.00;0.00;0.00;0.00;0.00;3.91;166.76;8.05
2018;09;17;00;00;66.23;85.00;0.00;0.00;0.00;0.00;3.42;168.69;7.61
2018;09;17;01;00;65.28;87.00;0.00;0.00;0.00;0.00;3.04;162.90;7.38
2018;09;17;02;00;64.48;89.00;0.00;0.00;0.00;0.00;2.62;160.02;7.16
2018;09;17;03;00;63.96;90.00;0.00;0.00;0.00;0.00;2.20;156.04;6.71
2018;09;17;04;00;63.40;92.00;0.00;0.00;0.00;0.00;2.00;153.43;6.49
2018;09;17;05;00;63.03;92.00;0.00;0.00;0.00;0.00;1.75;140.19;6.26
2018;09;17;06;00;63.01;92.00;0.00;0.00;0.00;6.23;1.75;129.81;6.49
2018;09;17;07;00;68.17;90.00;0.00;0.00;40.85;129.05;1.70;156.80;6.49
2018;09;17;08;00;71.23;82.00;0.00;0.00;40.85;284.80;2.91;157.38;7.83
2018;09;17;09;00;74.40;75.00;0.00;0.00;40.85;436.99;4.61;165.96;8.28
2018;09;17;10;00;77.44;68.00;0.00;0.00;40.85;582.06;6.08;173.66;8.95
2018;09;17;11;00;79.60;64.00;0.00;0.00;0.00;666.61;7.39;178.26;10.29
2018;09;17;12;00;81.15;62.00;0.00;0.00;14.04;684.41;8.28;180.00;10.29
2018;09;17;13;00;80.83;64.00;0.00;0.00;0.00;567.82;8.73;178.53;11.41
2018;09;17;14;00;81.40;63.00;0.00;0.00;0.00;359.56;9.40;180.00;12.08
2018;09;17;15;00;79.64;67.00;0.00;0.00;0.00;200.25;9.64;183.99;11.63
2018;09;17;16;00;78.38;70.00;0.00;0.00;0.00;95.23;9.24;186.95;11.86
2018;09;17;17;00;76.47;76.00;0.00;0.00;0.00;50.73;8.83;188.75;11.18
2018;09;17;18;00;75.28;78.00;0.00;0.00;0.00;15.13;7.88;186.52;11.41
2018;09;17;19;00;74.65;79.00;0.00;0.00;0.00;0.00;6.93;180.00;13.87
2018;09;17;20;00;74.04;82.00;0.00;0.00;0.00;0.00;6.55;172.15;16.78
2018;09;17;21;00;73.81;85.00;0.00;0.00;0.00;0.00;7.16;165.53;14.09
2018;09;17;22;00;74.10;85.00;0.00;0.00;0.00;0.00;8.08;165.58;15.21
2018;09;17;23;00;74.19;87.00;0.00;0.00;0.00;0.00;9.02;172.87;15.88
2018;09;18;00;00;74.22;87.00;0.00;0.00;0.00;0.00;9.85;182.60;16.78
2018;09;18;01;00;73.83;89.00;0.00;0.00;0.00;0.00;9.71;187.94;15.88
2018;09;18;02;00;73.66;90.00;0.00;0.00;0.00;0.00;9.52;189.46;15.88
2018;09;18;03;00;73.45;92.00;0.10;0.00;0.00;0.00;9.34;191.04;16.11
2018;09;18;04;00;73.12;94.00;0.00;0.00;0.00;0.00;9.34;191.04;15.66
2018;09;18;05;00;72.94;95.00;0.00;0.00;0.00;0.00;9.28;195.38;14.54
2018;09;18;06;00;72.87;96.00;0.00;0.00;0.00;1.78;8.91;197.53;13.42
2018;09;18;07;00;74.47;96.00;0.00;0.00;0.00;41.83;9.85;201.32;14.32
2018;09;18;08;00;75.01;94.00;0.20;0.00;0.00;89.00;9.41;205.35;13.65
2018;09;18;09;00;76.00;92.00;0.90;0.00;0.00;122.82;8.91;208.50;11.41
2018;09;18;10;00;76.02;93.00;1.20;0.00;0.00;87.22;8.32;210.70;10.96
2018;09;18;11;00;76.40;93.00;1.00;0.00;0.00;98.79;7.88;214.59;9.84
2018;09;18;12;00;76.72;91.00;2.60;0.00;0.00;112.14;7.20;216.16;9.62
2018;09;18;13;00;76.94;88.00;2.30;0.00;0.00;113.92;6.58;215.31;8.50
2018;09;18;14;00;77.14;87.00;1.90;0.00;0.00;106.80;5.73;218.66;7.38
2018;09;18;15;00;77.10;86.00;1.70;0.00;0.00;111.25;4.91;226.85;6.71
2018;09;18;16;00;76.90;87.00;1.80;0.00;0.00;83.66;3.96;253.61;7.16
2018;09;18;17;00;76.67;87.00;1.60;0.00;0.00;53.40;3.47;284.93;6.49
2018;09;18;18;00;76.04;88.00;0.00;0.00;2.33;24.92;3.33;317.73;7.38
2018;09;18;19;00;75.45;89.00;0.00;0.00;0.00;0.00;3.50;333.43;8.50
2018;09;18;20;00;74.82;90.00;0.00;0.00;0.00;0.00;4.03;340.56;9.84
2018;09;18;21;00;74.22;90.00;0.00;0.00;0.00;0.00;4.24;341.57;10.74
2018;09;18;22;00;73.70;89.00;0.00;0.00;0.00;0.00;4.41;336.04;14.09
2018;09;18;23;00;73.43;87.00;0.00;0.00;0.00;0.00;4.50;333.43;13.65
2018;09;19;00;00;73.18;85.00;0.00;0.00;0.00;0.00;4.41;329.53;13.20
2018;09;19;01;00;72.76;83.00;0.00;0.00;0.00;0.00;4.53;327.09;13.65
2018;09;19;02;00;71.97;82.00;0.00;0.00;0.00;0.00;4.97;324.16;13.42
2018;09;19;03;00;71.20;81.00;0.00;0.00;0.00;0.00;5.28;323.62;12.30
2018;09;19;04;00;70.32;81.00;0.00;0.00;0.00;0.00;5.83;327.53;11.18
2018;09;19;05;00;69.61;82.00;0.00;0.00;0.00;0.00;5.91;330.52;12.08
2018;09;19;06;00;69.16;83.00;0.00;0.00;14.42;4.45;6.02;338.20;12.30
2018;09;19;07;00;69.11;91.00;0.00;0.00;45.96;121.04;5.41;352.87;9.84
2018;09;19;08;00;72.04;84.00;0.00;0.00;38.30;301.71;7.66;6.71;8.05
2018;09;19;09;00;74.60;78.00;0.00;0.00;40.21;464.58;8.52;13.67;8.72
2018;09;19;10;00;76.71;73.00;0.00;0.00;51.06;594.52;8.98;18.89;9.62
2018;09;19;11;00;78.47;69.00;0.00;0.00;0.00;656.82;8.85;20.73;10.07
2018;09;19;12;00;78.42;68.00;0.00;0.00;0.00;435.21;8.30;27.26;10.29
2018;09;19;13;00;79.26;65.00;0.00;0.00;53.62;353.33;8.13;31.50;10.07
2018;09;19;14;00;79.78;62.00;0.00;0.00;53.62;383.59;7.70;35.54;10.29
2018;09;19;15;00;79.78;61.00;0.00;0.00;53.62;282.13;7.45;41.35;10.29
2018;09;19;16;00;80.23;60.00;0.00;0.00;53.62;351.55;6.97;47.60;9.62
2018;09;19;17;00;79.33;62.00;0.00;0.00;53.62;230.51;6.41;60.75;9.40
2018;09;19;18;00;77.21;66.00;0.00;0.00;0.97;63.19;5.53;75.96;8.50
2018;09;19;19;00;75.41;71.00;0.00;0.00;0.00;0.00;5.19;82.57;5.59
2018;09;19;20;00;73.65;76.00;0.00;0.00;0.00;0.00;5.82;90.00;5.82
2018;09;19;21;00;72.48;79.00;0.00;0.00;0.00;0.00;6.49;91.97;7.61
2018;09;19;22;00;71.45;82.00;0.00;0.00;0.00;0.00;6.73;93.81;6.71
2018;09;19;23;00;70.51;83.00;0.00;0.00;0.00;0.00;6.71;90.00;6.71
2018;09;20;00;00;69.49;84.00;0.00;0.00;0.00;0.00;6.71;88.09;6.71
2018;09;20;01;00;68.57;85.00;0.00;0.00;0.00;0.00;6.77;82.41;6.71
2018;09;20;02;00;67.81;84.00;0.00;0.00;0.00;0.00;6.67;76.43;6.71
2018;09;20;03;00;67.09;82.00;0.00;0.00;0.00;0.00;6.73;68.55;7.16
2018;09;20;04;00;66.25;82.00;0.00;0.00;0.00;0.00;6.91;65.10;7.38
2018;09;20;05;00;65.42;80.00;0.00;0.00;0.00;0.00;6.80;62.59;6.71
2018;09;20;06;00;64.63;79.00;0.00;0.00;14.40;2.67;6.61;61.70;6.93
2018;09;20;07;00;64.56;78.00;0.00;0.00;0.00;90.78;8.14;74.05;11.41
2018;09;20;08;00;65.28;73.00;0.00;0.00;0.00;219.83;8.36;74.48;7.61
2018;09;20;09;00;66.75;68.00;0.00;0.00;0.00;400.50;8.07;70.56;7.38
2018;09;20;10;00;67.62;65.00;0.00;0.00;0.00;447.67;7.85;70.02;7.16
2018;09;20;11;00;67.65;64.00;0.00;0.00;0.00;339.09;7.57;71.03;8.72
2018;09;20;12;00;67.56;64.00;0.00;0.00;0.00;259.88;6.95;75.07;6.93
2018;09;20;13;00;67.47;64.00;0.00;0.00;0.00;239.41;6.33;81.87;6.04
2018;09;20;14;00;67.40;64.00;0.00;0.00;0.00;220.72;5.59;90.00;5.59
2018;09;20;15;00;67.33;64.00;0.00;0.00;0.00;190.46;4.93;92.60;5.37
2018;09;20;16;00;67.20;65.00;0.00;0.00;0.00;155.75;4.83;103.39;5.14
2018;09;20;17;00;66.84;65.00;0.00;0.00;0.00;105.02;4.95;108.43;5.14
2018;09;20;18;00;66.23;66.00;0.00;0.00;0.00;29.37;4.70;115.35;4.92
2018;09;20;19;00;65.98;67.00;0.00;0.00;0.00;0.00;4.61;119.05;4.92
2018;09;20;20;00;65.82;68.00;0.00;0.00;0.00;0.00;4.91;120.07;4.92
2018;09;20;21;00;65.64;68.00;0.00;0.00;0.00;0.00;5.41;119.74;5.37
2018;09;20;22;00;65.29;69.00;0.00;0.00;0.00;0.00;5.72;120.58;6.26
2018;09;20;23;00;64.93;70.00;0.00;0.00;0.00;0.00;5.22;120.96;4.92
2018;09;21;00;00;64.00;73.00;0.00;0.00;0.00;0.00;4.61;119.05;4.25
2018;09;21;01;00;63.66;75.00;0.00;0.00;0.00;0.00;4.50;116.57;4.03
2018;09;21;02;00;63.53;77.00;0.00;0.00;0.00;0.00;4.20;115.20;4.70
2018;09;21;03;00;63.31;78.00;0.00;0.00;0.00;0.00;4.50;116.57;5.59
2018;09;21;04;00;63.12;80.00;0.00;0.00;0.00;0.00;4.80;117.76;6.26
2018;09;21;05;00;63.03;83.00;0.00;0.00;0.00;0.00;5.52;121.76;6.93
2018;09;21;06;00;63.53;84.00;0.00;0.00;0.00;1.78;6.22;127.69;7.16
2018;09;21;07;00;66.50;84.00;0.00;0.00;0.00;40.05;8.82;144.29;10.07
2018;09;21;08;00;67.51;82.00;0.00;0.00;0.00;97.90;10.13;149.47;12.08
2018;09;21;09;00;68.64;78.00;0.00;0.00;0.00;161.98;11.11;154.98;11.63
2018;09;21;10;00;69.96;74.00;0.00;0.00;0.00;240.30;11.96;159.19;12.97
2018;09;21;11;00;70.80;71.00;0.00;0.00;0.00;274.12;12.88;162.82;14.09
2018;09;21;12;00;71.97;68.00;0.00;0.00;0.00;318.62;13.51;167.57;15.21
2018;09;21;13;00;72.44;68.00;0.00;0.00;0.00;294.59;13.79;171.61;16.33
2018;09;21;14;00;72.58;68.00;0.00;0.00;0.00;249.20;13.91;175.39;17.00
2018;09;21;15;00;72.28;69.00;0.00;0.00;0.00;174.44;13.87;179.08;17.67
2018;09;21;16;00;71.94;72.00;0.00;0.00;0.00;117.48;13.42;180.00;18.79
2018;09;21;17;00;71.65;74.00;0.00;0.00;0.00;88.11;13.44;182.86;19.01
2018;09;21;18;00;71.16;78.00;0.00;0.00;0.00;32.93;13.49;185.71;19.46
2018;09;21;19;00;71.09;81.00;0.00;0.00;0.00;0.00;13.65;190.39;20.13
2018;09;21;20;00;71.23;83.00;0.00;0.00;0.00;0.00;14.08;197.57;21.25
2018;09;21;21;00;71.47;84.00;0.00;0.00;0.00;0.00;14.22;204.15;20.80
2018;09;21;22;00;71.59;84.00;0.00;0.00;0.00;0.00;14.43;209.74;22.59
2018;09;21;23;00;71.07;84.00;0.00;0.00;0.00;0.00;13.90;213.18;22.37
2018;09;22;00;00;70.51;84.00;0.00;0.00;0.00;0.00;13.53;214.22;22.59
2018;09;22;01;00;69.96;84.00;0.00;0.00;0.00;0.00;13.03;219.43;21.92
2018;09;22;02;00;69.31;86.00;0.00;0.00;0.00;0.00;12.04;228.01;20.58
2018;09;22;03;00;68.84;88.00;0.00;0.00;0.00;0.00;10.71;241.29;18.34
